artifact_path,artifact_type,source_phase,file_size_if_available,created_or_modified_if_available,role,requires_visual_audit,requires_numeric_audit,notes
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\B_repro_micro_displacement_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,28437449,2026-06-20T11:31:07,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\B_repro_micro_displacement_repeat_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,28437084,2026-06-20T11:27:05,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\B_repro_micro_displacement_repeat_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,28436549,2026-06-20T11:31:26,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C0_zero_displacement_baseline_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,28436783,2026-06-20T11:27:23,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C0_zero_displacement_baseline_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,28436576,2026-06-20T11:31:47,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C1_micro_displacement_baseline_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,28436566,2026-06-20T11:27:43,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C1_micro_displacement_baseline_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,28436729,2026-06-20T11:32:07,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C2_shorter_time_horizon_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,9739580,2026-06-20T11:27:57,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C2_shorter_time_horizon_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,9740039,2026-06-20T11:32:21,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C3_smaller_time_step_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,51804928,2026-06-20T11:28:20,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C3_smaller_time_step_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,51805239,2026-06-20T11:32:41,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C4_smooth_displacement_ramp_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,28437974,2026-06-20T11:28:37,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C4_smooth_displacement_ramp_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,28438105,2026-06-20T11:33:00,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C5_levelset_eps_2mm_20260620_112539.mph,model_mph,R3_phase3_diagnostic_repair,28436549,2026-06-20T11:28:54,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\models\C5_levelset_eps_2mm_20260620_113028.mph,model_mph,R3_phase3_diagnostic_repair,28436217,2026-06-20T11:33:16,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_A_evidence_consolidation.md,report_markdown,R3_phase3_diagnostic_repair,4168,2026-06-20T11:30:28,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_A_evidence_consolidation_summary.json,data_json,R3_phase3_diagnostic_repair,37643,2026-06-20T11:30:28,structured summary or raw row evidence,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_B_minimal_phase3_repro_report.md,report_markdown,R3_phase3_diagnostic_repair,1304,2026-06-20T11:33:16,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_BC_raw_rows.json,data_json,R3_phase3_diagnostic_repair,8151,2026-06-20T11:33:16,structured summary or raw row evidence,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_final_report.md,report_markdown,R3_phase3_diagnostic_repair,2800,2026-06-20T11:33:16,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\reports\R3_gate_summary.json,data_json,R3_phase3_diagnostic_repair,172,2026-06-20T11:33:16,structured summary or raw row evidence,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\scripts\__pycache__\R3_B_minimal_phase3_repro.cpython-311.pyc,artifact_pyc,R3_phase3_diagnostic_repair,36827,2026-06-20T11:30:20,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\scripts\R3_B_minimal_phase3_repro.py,script_python,R3_phase3_diagnostic_repair,25140,2026-06-20T11:30:13,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_phase3_diagnostic_repair\tables\R3_C_repair_ladder_summary.csv,table_csv,R3_phase3_diagnostic_repair,2587,2026-06-20T11:33:16,numeric/tabular evidence for reviewer audit,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\00_R2_import_review\images\R2_key_metrics_summary.png,image_png,R3_ring_contactline_00_R2_import_review,8128,2026-06-20T06:22:53,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\00_R2_import_review\reports\R2_import_review.md,report_markdown,R3_ring_contactline_00_R2_import_review,634,2026-06-20T06:22:53,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\00_R2_import_review\tables\R2_key_metrics_recomputed.csv,table_csv,R3_ring_contactline_00_R2_import_review,747,2026-06-20T06:22:53,numeric/tabular evidence for reviewer audit,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\images\R2_controls_ring_vs_no_ring.png,image_png,R3_ring_contactline_01_R2_consistency_audit,9539,2026-06-20T06:22:53,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\images\R2_D_drift_vs_velocity.png,image_png,R3_ring_contactline_01_R2_consistency_audit,4873,2026-06-20T06:22:53,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\images\R2_stabilization_effects.png,image_png,R3_ring_contactline_01_R2_consistency_audit,9455,2026-06-20T06:22:53,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\reports\R2_consistency_audit_report.md,report_markdown,R3_ring_contactline_01_R2_consistency_audit,448,2026-06-20T06:22:53,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\01_R2_consistency_audit\tables\R2_consistency_metrics.csv,table_csv,R3_ring_contactline_01_R2_consistency_audit,3032,2026-06-20T06:22:53,numeric/tabular evidence for reviewer audit,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\C1_spike_region_map.png,image_png,R3_ring_contactline_02_spike_spatial_localization,1520,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\C2_spike_region_map.png,image_png,R3_ring_contactline_02_spike_spatial_localization,1520,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\C3_spike_region_map.png,image_png,R3_ring_contactline_02_spike_spatial_localization,1520,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\D0_spike_region_map.png,image_png,R3_ring_contactline_02_spike_spatial_localization,1520,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\max_slope_r_curve.png,image_png,R3_ring_contactline_02_spike_spatial_localization,3575,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\regional_roughness_comparison.png,image_png,R3_ring_contactline_02_spike_spatial_localization,9539,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\images\roughness_r_curve.png,image_png,R3_ring_contactline_02_spike_spatial_localization,9539,2026-06-20T06:23:01,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\logs\spike_spatial_localization.log,log_text,R3_ring_contactline_02_spike_spatial_localization,1687,2026-06-20T06:23:01,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\reports\spike_spatial_localization_report.md,report_markdown,R3_ring_contactline_02_spike_spatial_localization,486,2026-06-20T06:23:01,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\02_spike_spatial_localization\tables\spike_spatial_metrics.csv,table_csv,R3_ring_contactline_02_spike_spatial_localization,375,2026-06-20T06:23:01,numeric/tabular evidence for reviewer audit,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G0_no_ring_rectangular_repeat.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,13674,2026-06-20T00:26:40,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G0_no_ring_rectangular_repeat_20260619_221811.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,13706,2026-06-20T00:32:16,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G0_no_ring_rectangular_repeat_20260620_002015.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,13706,2026-06-20T00:26:40,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G1_ring_current_position_repeat.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19200,2026-06-20T00:51:15,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G1_ring_current_position_repeat_20260619_221811.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19232,2026-06-20T00:51:15,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G1_ring_current_position_repeat_20260620_002015.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19232,2026-06-20T01:07:45,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G2_ring_deeper_submerged.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19164,2026-06-20T01:42:27,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G2_ring_deeper_submerged_20260620_002015.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19196,2026-06-20T01:42:27,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G2_ring_deeper_submerged_20260620_022152.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19196,2026-06-20T02:54:01,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G3_ring_far_below_surface.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19227,2026-06-20T02:17:41,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G3_ring_far_below_surface_20260620_002015.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19259,2026-06-20T02:17:41,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G3_ring_far_below_surface_20260620_022152.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19259,2026-06-20T03:35:21,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G4_ring_above_surface_air_side.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19188,2026-06-20T02:42:10,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G4_ring_above_surface_air_side_20260620_002015.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19220,2026-06-20T02:42:10,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G5_ring_thinner_or_smaller_gap_control.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19221,2026-06-20T03:10:22,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\exports\G5_ring_thinner_or_smaller_gap_control_20260620_002015.java,export_java,R3_ring_contactline_03_ring_geometry_position_controls,19253,2026-06-20T03:10:22,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\images\geometry_control_interface_montage.png,image_png,R3_ring_contactline_03_ring_geometry_position_controls,1520,2026-06-20T03:35:21,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\images\geometry_control_regional_roughness.png,image_png,R3_ring_contactline_03_ring_geometry_position_controls,6325,2026-06-20T03:35:21,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\logs\ring_geometry_position_controls.log,log_text,R3_ring_contactline_03_ring_geometry_position_controls,7666,2026-06-20T03:35:21,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G0_no_ring_rectangular_repeat.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,14657712,2026-06-20T00:26:39,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
